Row,Stable_ID,UCUM_CODE,Print_Symbol,Label,Description,Synonyms,Search_Tokens,Dimension_Category,Dimension_Code,Metric_Code,Metric_Comment,Customary_Code,Customary_Comment,UCUM_Status,Is_Common,Source
1,ucum_10_x_L_per_min,10.L/min,10·L/min,10·L/min (10 liter per minute),10 liter per minute,10.L/min;10·L/min;10 liter per minute;10 liters per minutes;10 liter per minutes;10 litres per minutes;10 litre per minute;10 litre per minutes;10 liters per minute;10 litres per minute,10 l min 10·l liter per minute liters minutes litres litre,Volumetric Flow Rate,volumetric_flow_rate,mixed,non-prefixable: min,,,c/s,false,ucum_v1.5_2020_06
2,ucum_10_x_L_per_min_x_m2,10.L/(min.m2),10·L/(min·m²),10·L/(min·m²) (10 liter per minute per square meter),10 liter per minute per square meter,10.L/(min.m2);10·L/(min·m²);10 liter per minute per square meter;10 liters per minutes per square metres;10 litre per minute per square metres;10 liter per minutes per square meter;10 litre per minute per square metre;10 litre per minute per square meter;10 liters per minutes per square meters;10 litre per minute per square meters;10 liter per minute per square metre;10 liters per minute per square meter;10 litre per minutes per square meter;10 liters per minute per square metre;10 litres per minute per square meter;10 litres per minutes per square meters;10 litres per minutes per square metres;10 litre per minutes per square metre;10 liter per minute per square metres;10 liter per minute per square meters;10 liter per minutes per square metre;10 litres per minute per square metre,10 l min m2 10·l min·m² liter per minute square meter liters minutes metres litre metre meters litres,Volumetric Flow Rate,volumetric_flow_rate,mixed,non-prefixable: min,,,c/s,false,ucum_v1.5_2020_06
3,ucum_10_x_uN_x_s_per_cm5_x_m2,10.uN.s/(cm5.m2),10·μN·s/(cm⁵·m²),10·μN·s/(cm⁵·m²) (10 micronewton second per centimeter to the fifth power per square meter),10 micronewton second per centimeter to the fifth power per square meter,10.uN.s/(cm5.m2);10·μN·s/(cm⁵·m²);10 micronewton second per centimeter to the fifth power per square meter;10 micronewtons second per centimetre to the fifth power per square metre;10 micronewtons seconds per centimetres to the fifth power per square meters;10 micronewton second per centimeters to the fifth power per square metre;10 micronewton second per centimetres to the fifth power per square metre;10 micronewton second per centimetre to the fifth power per square metres;10 micronewton second per centimetre to the fifth power per square metre;10 micronewton second per centimeter to the fifth power per square metre;10 micronewtons second per centimeter to the fifth power per square metre;10 micronewton second per centimeter to the fifth power per square meters;10 micronewton second per centimeter to the fifth power per square metres;10 micronewtons seconds per centimetres to the fifth power per square metres;10 micronewton seconds per centimetre to the fifth power per square metre;10 micronewton seconds per centimeter to the fifth power per square meter;10 micronewtons second per centimetre to the fifth power per square meter;10 micronewtons second per centimeter to the fifth power per square meter;10 micronewton seconds per centimeter to the fifth power per square metre;10 micronewtons seconds per centimeters to the fifth power per square metres;10 micronewton second per centimeters to the fifth power per square meter;10 micronewton second per centimetre to the fifth power per square meters;10 micronewton seconds per centimetre to the fifth power per square meter;10 micronewton second per centimetre to the fifth power per square meter;10 micronewtons seconds per centimeters to the fifth power per square meters;10 micronewton second per centimetres to the fifth power per square meter,10 un s cm5 m2 10·μn·s cm⁵·m² micronewton second per centimeter to the fifth power square meter micronewtons centimetre metre seconds centimetres meters centimeters metres,Force,force,metric,,,,c/s,false,ucum_v1.5_2020_06
4,ucum_10e4_per_uL,10*4/uL,10⁴/μL,10⁴/μL (10 thousand per microliter),10 thousand per microliter,10*4/uL;10⁴/μL;10 thousand per microliter;10 thousand per microlitre;10 thousand per microliters;10 thousand per microlitres,10 4 ul 10⁴ μl thousand per microliter microlitre microliters microlitres,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
5,ucum_10e8,10*8,10⁸,10⁸ (100 million),100 million ,10*8;10⁸;100 million,10 8 10⁸ 100 million,Dimensionless / Ratio,dimensionless_ratio,dimensionless,pure count multiplier,,,c/s,false,ucum_v1.5_2020_06
6,ucum_24_x_h,24.h,24·h,24·h (24 hour),24 hour,24.h;24·h;24 hour;24 hours,24 h 24·h hour hours,Time,time,non_metric,non-prefixable atom(s): h,,,c/s,false,ucum_v1.5_2020_06
7,ucum_absorbance,{absorbance},{absorbance},{absorbance} (absorbance),absorbance,{absorbance};absorbance;absorbances,absorbance absorbances,Dimensionless / Ratio,dimensionless_ratio,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
8,ucum_activity,{activity},{activity},{activity} (activity),activity,{activity};activity;activities,activity activities,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
9,ucum_AU,[AU],AU,AU (allergy unit),allergy unit,[AU];AU;allergy unit;allergies units;allergy units;allergies unit,au allergy unit allergies units,Arbitrary Unit,arbitrary_unit,non_metric,customary atom(s): [AU],,,c/s,false,ucum_v1.5_2020_06
10,ucum_AHFU,{AHF'U},{AHF'U},{AHF'U} (American Hospital Formulary unit),American Hospital Formulary unit,{AHF'U};American Hospital Formulary unit;American Hospital formularies unit;americans Hospital Formulary unit;americans hospitals formularies units;American Hospital Formulary units;American hospitals Formulary unit,ahf u american hospital formulary unit formularies americans hospitals units,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
11,ucum_A,A,A,A (ampere),ampere,A;ampere;amperes,a ampere amperes,Electrical / Magnetic,electrical_magnetic,metric,,,,c/s,true,ucum_v1.5_2020_06
